Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,29,1992,18.2,1,0,0,22,12,26,18,6,6,1,0,0,Matches
Stefan Bell\857a5abe,de GER,DF,Mainz 05,29,1991,31.8,9,0,0,52,5,6,11,66,34,0,1,1,Matches
Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,19,2001,19.6,5,0,0,28,31,3,2,64,24,0,0,2,Matches
Karim Bellarabi\bee0bab1,de GER,FWDF,Leverkusen,31,1990,7.6,2,0,0,22,8,1,20,8,9,2,0,0,Matches
Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18,2003,31,9,0,0,44,102,5,17,44,40,0,0,0,Matches
George Bello\aca0a525,us USA,DF,Arminia,19,2002,4.8,0,0,0,3,7,1,6,9,6,0,0,1,Matches
László Bénes\fe888e39,sk SVK,MF,M'Gladbach,23,1997,2.7,0,0,0,1,11,0,5,0,4,0,0,0,Matches
Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22,1999,0.6,1,0,0,3,0,0,2,0,0,0,0,0,Matches
Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26,1995,22.4,6,0,0,35,44,4,16,78,27,0,1,0,Matches
Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21,2000,15.4,5,0,0,17,19,0,5,26,21,0,1,0,Matches
Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,19,2001,2,1,0,0,4,3,0,0,0,1,0,0,0,Matches
Ermin Bi?ak?i?\7aac47fe,ba BIH,DF,Hoffenheim,31,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Bischof\07d3bfec,de GER,MFFW,Hoffenheim,16,2005,0.2,0,0,0,1,0,0,1,0,0,0,0,0,Matches
Danny Blum\eb61713c,de GER,FWMF,Bochum,30,1991,3.8,0,0,0,3,3,0,18,5,1,0,0,0,Matches
Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34,1987,7.7,8,0,0,22,20,1,2,8,4,0,0,0,Matches
Herbert Bockhorn\5ad8c360,de GER,DF,Bochum,26,1995,9.4,1,0,0,11,23,0,22,26,16,0,0,0,Matches
Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27,1994,20,3,0,0,23,44,1,20,30,32,0,0,0,Matches
Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,24,1997,0.2,0,0,0,0,0,0,0,2,0,0,0,0,Matches
Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,17,2003,0.1,0,0,0,0,0,0,0,2,0,0,0,0,Matches
Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22,1999,22.3,4,0,0,25,6,2,2,44,22,0,1,0,Matches
Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,25,1995,26.4,5,0,0,47,29,17,29,6,27,0,0,0,Matches
Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,30,1990,21.1,1,1,0,11,5,3,2,23,12,1,0,0,Matches
Julian Brandt\a167537f,de GER,MFFW,Dortmund,25,1996,23.1,3,0,0,16,19,2,35,25,21,0,0,0,Matches
Iker Bravo\db8c8860,es ESP,FW,Leverkusen,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26,1995,4,0,0,0,0,2,0,0,0,0,0,0,0,Matches
Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23,1998,0.2,0,0,0,0,0,0,2,0,0,0,0,0,Matches
Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,19,2002,1.5,0,0,0,3,2,0,0,0,2,0,0,0,Matches
John Brooks\e27da244,us USA,DF,Wolfsburg,28,1993,29.1,2,0,0,10,16,1,4,61,25,0,1,0,Matches
Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33,1988,4.3,0,0,0,1,3,0,13,6,3,0,0,0,Matches
Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27,1994,24.3,6,0,0,40,30,0,45,63,31,0,1,0,Matches
Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,22,1998,9,1,0,0,3,2,6,13,7,1,0,0,0,Matches
Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,31,1989,14,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Delano Burgzorg\05e2d5ea,nl NED,FW,Mainz 05,22,1998,0.3,0,0,0,2,0,1,0,0,1,0,0,0,Matches
Jonathan Burkardt\05f99a4a,de GER,FWMF,Mainz 05,21,2000,29,0,0,0,30,52,10,27,16,10,0,0,0,Matches
Roman Bürki\9d12e142,ch SUI,GK,Dortmund,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jamie Bynoe-Gittens\10745192,eng ENG,FW,Dortmund,16,2004,1.5,0,0,0,3,6,0,2,2,3,0,0,0,Matches
Daniel Caligiuri\d1273f09,it ITA,DFMF,Augsburg,33,1988,22.3,4,0,0,41,47,0,41,28,26,1,0,0,Matches
Emre Can\a65ce836,de GER,DFMF,Dortmund,27,1994,18.8,5,0,0,34,25,1,5,44,36,0,0,0,Matches
Koen Casteels\db401046,be BEL,GK,Wolfsburg,29,1992,28,1,0,0,0,2,0,0,0,0,0,0,0,Matches
Gonzalo Castro\68829001,de GER,MFFW,Arminia,34,1987,4.8,0,0,0,9,3,2,7,3,6,0,0,0,Matches
Julian Chabot\ae7058f9,de GER,DF,Köln,23,1998,2.3,1,0,0,5,6,0,0,5,3,0,0,0,Matches
Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31,1990,13.5,4,0,0,17,8,4,22,19,12,0,0,0,Matches
Justin Che\3c569f37,us USA,DFMF,Hoffenheim,17,2003,0.5,0,0,0,0,0,0,0,1,1,0,0,0,Matches
Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,24,1996,22.8,5,0,0,31,23,1,0,81,28,0,0,0,Matches
Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25,1996,15.1,1,1,0,11,24,5,79,15,9,0,0,0,Matches
Lucas Copado\8356931a,de GER,FW,Bayern Munich,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,23,1997,3.6,2,0,0,4,11,5,3,1,4,0,0,0,Matches
Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28,1993,8.1,2,0,0,11,3,0,10,18,9,0,1,0,Matches
Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20,2001,12,8,0,0,25,17,6,13,7,13,0,0,0,Matches
Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,21,1999,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Matches
Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22,1999,0.7,0,0,0,1,3,0,0,1,0,0,0,0,Matches
Rafael Czichos\b0a0698b,de GER,DF,Köln,31,1990,15.6,4,0,0,20,11,0,4,38,22,0,0,1,Matches
Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22,1999,1.5,1,0,0,6,0,0,3,6,1,0,0,0,Matches
