Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Paul Mukairu\dbfbdf06,ng NGA,MFFW,FC Copenhagen,21,2000,6.9,1,0,0,8,8,3,4,9,15,,,0,Matches
Alexander Munksgaard\5155fe21,dk DEN,DF,AGF,23,1997,12.4,2,0,0,15,14,0,40,14,13,,,0,Matches
Tobias Mølgaard\3935715a,dk DEN,MFDF,Vejle BK,25,1996,21.8,3,0,0,28,12,1,73,27,29,,,0,Matches
Adamo Nagalo\1e1f3918,ci CIV,DF,Nordsjælland,18,2002,22.5,3,1,0,27,12,1,3,24,20,,,0,Matches
Marokhy Ndione\227691ea,se SWE,FW,Viborg,21,1999,0.6,0,0,0,3,1,0,0,0,0,,,0,Matches
Victor Nelsson\e53b5534,dk DEN,DF,FC Copenhagen,22,1998,1,1,0,0,0,2,0,0,2,2,,,0,Matches
Rasmus Nicolaisen\3f319bb9,dk DEN,DF,Midtjylland,24,1997,1.3,1,0,0,1,2,0,0,2,0,,,0,Matches
Oliver Nielsen\e97adead,dk DEN,DF,Vejle BK,18,2003,3.5,0,0,0,1,1,0,0,8,5,,,0,Matches
Emeka Nnamani\01ee9593,dk DEN,FW,Nordsjælland,19,2001,0.4,2,0,0,1,2,0,1,0,0,,,0,Matches
Anders Noshe\446a085a,dk DEN,FW,Aalborg,15,2006,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Ernest Nuamah\234a703c,gh GHA,FW,Nordsjælland,17,2003,2.2,1,0,0,5,6,1,5,0,3,,,0,Matches
Raphael Nwadike\751a0fb5,ng NGA,MF,Midtjylland,20,2001,28.2,7,0,0,64,32,1,4,31,44,,,0,Matches
Benjamin Nygren\d6ebf67f,se SWE,FWMF,Nordsjælland,20,2001,7.1,3,0,0,10,8,1,9,1,1,,,0,Matches
Stephen Odey\6a479195,ng NGA,FW,Randers,23,1998,20.2,2,1,0,20,24,14,20,6,11,,,0,Matches
