Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jacob Christensen\324ff0da,dk DEN,MF,Nordsjælland,20,2001,28,14,1440,16,0,2,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Magnus Christensen\f3357915,dk DEN,MF,Aalborg,23,1997,17,11,832,9.2,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Oliver Christensen\af104654,dk DEN,GK,Odense,22,1999,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hans Christian Bernat\e49bda8e,dk DEN,GK,Odense,20,2000,26,26,2340,26,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Peter Christiansen\ffe0853e,dk DEN,FW,SønderjyskE,21,1999,15,12,1036,11.5,3,1,3,0,0,4,0,0.26,0.09,0.35,0.26,0.35,Matches
Viktor Claesson\b3a712de,se SWE,FWMF,FC Copenhagen,29,1992,10,9,736,8.2,1,3,1,0,0,0,0,0.12,0.37,0.49,0.12,0.49,Matches
Dion Cools\0331786b,my MAS,DFMF,Midtjylland,25,1996,12,5,414,4.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rezan Corlu\d171dc98,dk DEN,MF,Brøndby,23,1997,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lasso Coulibaly\78310540,gh GHA,FWMF,Nordsjælland,18,2002,23,14,1237,13.7,0,4,0,0,0,4,1,0,0.29,0.29,0,0.29,Matches
Kevin Custovic\c79a24ce,se SWE,MF,Vejle BK,21,2000,14,3,310,3.4,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
Anthony D'Alberto\98684b0c,be BEL,DFMF,AGF,26,1994,19,14,1251,13.9,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Adam Daghim\17f9da8a,,MF,AGF,,,3,0,65,0.7,0,1,0,0,0,2,0,0,1.38,1.38,0,1.38,Matches
Jón Dagur Þorsteinsson\474beb8b,is ISL,FWMF,AGF,22,1998,23,21,1652,18.4,3,1,3,0,0,8,0,0.16,0.05,0.22,0.16,0.22,Matches
Robin Dahl Østrøm\4ab66aa2,no NOR,DF,Odense,18,2002,11,7,653,7.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
