Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Johan Dahlin\a04e2dd2,se SWE,GK,Malmö,34,1986,18.5,0,0,0,,0,0,,,,0,0,Matches
Isak Dahlqvist\19965b27,se SWE,FW,Göteborg,19,2001,0.6,0,1,0,0,1.61,0,0,,,0,0,Matches
Villiam Dahlström\9f95d007,se SWE,FW,Degerfors,23,1997,6.6,2,14,7,50,2.12,1.06,0.14,0.29,,0,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Degerfors,26,1994,13,0,0,0,,0,0,,,,0,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Malmö,26,1994,2.5,0,0,0,,0,0,,,,0,0,Matches
Dusan Djuri?\b7d4b2d5,se SWE,MF,Halmstad,36,1984,0.3,0,0,0,,0,0,,,,0,0,Matches
Nikolaos Dosis\64ed4f29,se SWE,MFDF,Östersund,20,2001,17.1,0,17,1,5.9,0.99,0.06,0,0,,0,0,Matches
Oliver Dovin\9f12e0f8,se SWE,GK,Hammarby,18,2002,7.8,0,0,0,,0,0,,,,0,0,Matches
Victor Edvardsen\817f3a14,se SWE,FW,Degerfors,25,1996,28.2,14,87,35,40.2,3.08,1.24,0.15,0.37,,1,1,Matches
Curtis Edwards\3480cb6b,eng ENG,MF,Djurgården,27,1994,3.7,0,2,0,0,0.54,0,0,,,0,0,Matches
Noah Eile\e1574c2d,se SWE,DF,Malmö,18,2002,0.3,0,1,0,0,3.46,0,0,,,0,0,Matches
Albert Ejupi\aae04d1c,se SWE,MF,Varberg,28,1992,19,0,23,4,17.4,1.21,0.21,0,0,,0,0,Matches
Hjalmar Ekdal\3d554589,se SWE,DF,Djurgården,22,1998,24.8,4,28,7,25,1.13,0.28,0.14,0.57,,0,0,Matches
Godswill Ekpolo\9f74c39b,ng NGA,DFMF,Häcken,25,1995,28.7,3,15,4,26.7,0.52,0.14,0.2,0.75,,0,0,Matches
Oliver Ekroth\5707648e,se SWE,DF,Degerfors,29,1992,25.5,1,12,4,33.3,0.47,0.16,0.08,0.25,,0,0,Matches
Zachary Elbouzedi\1a5ed92d,ie IRL,MF,AIK Stockholm,22,1998,17.6,1,26,12,46.2,1.48,0.68,0.04,0.08,,0,0,Matches
Ben Engdahl\366a125e,se SWE,DF,Hammarby,17,2003,0.1,0,0,0,,0,0,,,,0,0,Matches
Jusef Erabi\5106b69d,se SWE,FW,Hammarby,17,2003,0.3,0,1,1,100,3.6,3.6,0,0,,0,0,Matches
Carljohan Eriksson\058b630f,fi FIN,GK,Mjällby,25,1995,20,0,0,0,,0,0,,,,0,0,Matches
Magnus Eriksson\5571f8b5,se SWE,MF,Djurgården,30,1990,30,5,70,23,32.9,2.33,0.77,0.07,0.22,,0,2,Matches
Sebastian Eriksson\35d76360,se SWE,MFDF,Göteborg,32,1989,12.7,1,6,1,16.7,0.47,0.08,0.17,1,,0,0,Matches
August Erlingmark\ab54f943,se SWE,MFDF,Göteborg,22,1998,22.3,1,12,6,50,0.54,0.27,0.08,0.17,,0,0,Matches
Alexander Faltsetas\55fe5670,se SWE,MF,Häcken,33,1987,16.1,0,23,3,13,1.42,0.19,0,0,,0,0,Matches
Mads Fenger\df894060,dk DEN,DFMF,Hammarby,30,1990,28.3,1,20,3,15,0.71,0.11,0.05,0.33,,0,0,Matches
Josip Filipovic\28a57f0e,hr CRO,DF,Mjällby,24,1996,0.6,0,1,0,0,1.8,0,0,,,0,0,Matches
Hampus Finndell\5afc236c,se SWE,MF,Djurgården,20,2000,24.3,3,40,9,22.5,1.65,0.37,0.08,0.33,,0,0,Matches
Adama Fofana\c98a3b4a,ci CIV,MFDF,Varberg,21,1999,9.5,0,8,0,0,0.84,0,0,,,0,0,Matches
Alexander Fransson\2e85c59c,se SWE,MF,Norrköping,26,1994,29.5,0,21,4,19,0.71,0.14,0,0,,0,0,Matches
Ari Freyr Skúlason\cce93ecd,is ISL,MFDF,Norrköping,33,1987,17.4,2,20,6,30,1.15,0.34,0.1,0.33,,0,0,Matches
Erik Friberg\3eaa3f36,se SWE,MF,Häcken,34,1986,11.3,0,6,1,16.7,0.53,0.09,0,0,,0,0,Matches
Per Frick\374368f1,se SWE,FW,Elfsborg,28,1992,23.2,8,39,18,46.2,1.68,0.78,0.21,0.44,,0,1,Matches
Richard Friday\1034f1e2,ng NGA,MFFW,Örebro,20,2000,6.8,0,9,1,11.1,1.31,0.15,0,0,,0,0,Matches
Ludvig Fritzson\768667c0,se SWE,MF,Östersund,25,1995,20.8,1,4,2,50,0.19,0.1,0.25,0.5,,0,0,Matches
Nils Fröling\5c9c3b66,se SWE,MFFW,Kalmar,20,2000,19.2,4,52,16,30.8,2.71,0.84,0.08,0.25,,0,0,Matches
Jeffrey Gal\a689bb06,se SWE,GK,Degerfors,27,1993,4,0,0,0,,0,0,,,,0,0,Matches
Romain Gall\3da8cba0,us USA,MF,Örebro,26,1995,6.7,0,15,6,40,2.25,0.9,0,0,,0,0,Matches
Nordin Gerzi?\acc80246,se SWE,MF,Örebro,37,1983,12.8,1,4,2,50,0.31,0.16,0.25,0.5,,0,0,Matches
Henok Goitom\c3680236,er ERI,FW,AIK Stockholm,36,1984,18.3,3,41,12,29.3,2.24,0.66,0.07,0.25,,0,0,Matches
Robert Gojani\65465292,se SWE,MF,Elfsborg,28,1992,13.4,1,23,6,26.1,1.71,0.45,0.04,0.17,,0,0,Matches
Sebastian Grach\72aefb0b,se SWE,FWDF,Östersund,19,2001,9,1,16,5,31.3,1.78,0.56,0.06,0.2,,0,0,Matches
Gustav Granath\52cf894f,se SWE,DFMF,Degerfors,23,1997,11.5,0,7,1,14.3,0.61,0.09,0,0,,0,0,Matches
Christos Gravius\9f10b799,se SWE,MF,Degerfors,23,1997,26.2,0,17,2,11.8,0.65,0.08,0,0,,0,0,Matches
Yahav Gurfinkel\e93d8d1a,il ISR,MF,Norrköping,22,1998,1.2,0,1,0,0,0.83,0,0,,,0,0,Matches
Samuel Gustafson\b1e61f23,se SWE,MF,Häcken,26,1995,1.4,0,2,0,0,1.43,0,0,,,0,0,Matches
Carl Gustafsson\c7834633,se SWE,MF,Kalmar,20,2000,27.9,0,20,5,25,0.72,0.18,0,0,,0,0,Matches
Viktor Gustafsson\385c6006,se SWE,MF,Mjällby,25,1995,17.8,0,16,6,37.5,0.9,0.34,0,0,,0,0,Matches
Jesper Gustavsson\34376913,se SWE,MFFW,Mjällby,26,1994,24.6,0,11,2,18.2,0.45,0.08,0,0,,0,0,Matches
Sveinn Guðjohnsen\6a7bdb3f,is ISL,FW,Elfsborg,22,1998,1.7,3,11,5,45.5,6.39,2.9,0.27,0.6,,0,0,Matches
Jón Guðni Fjóluson\7b8ff0ac,is ISL,DF,Hammarby,31,1989,20.2,1,8,3,37.5,0.4,0.15,0.13,0.33,,0,0,Matches
Peter Gwargis\3fd07ca3,se SWE,MF,Malmö,20,2000,0.9,0,3,0,0,3.18,0,0,,,0,0,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Kalmar,26,1994,26,0,0,0,,0,0,,,,0,0,Matches
Sead Haksabanovi?\d2fd7c14,me MNE,FWMF,Norrköping,21,1999,7,0,24,8,33.3,3.43,1.14,0,0,,0,0,Matches
Jetmir Haliti\7a381b1f,se SWE,DF,AIK Stockholm,24,1996,1.6,0,2,1,50,1.25,0.62,0,0,,0,0,Matches
Jiloan Hamad\a1d609ca,iq IRQ,MF,Örebro,30,1990,14.3,0,16,5,31.3,1.12,0.35,0,0,,0,0,Matches
Johan Hammar\9dc0fa97,se SWE,DF,Häcken,26,1994,18.4,0,20,3,15,1.09,0.16,0,0,,0,0,Matches
Marek Hamšík\e6ad16b2,sk SVK,MF,Göteborg,33,1987,4.9,1,9,4,44.4,1.84,0.82,0.11,0.25,,0,0,Matches
Kristoffer Hansen\9e3e5d05,dk DEN,DFMF,Häcken,18,2002,14.1,0,6,2,33.3,0.43,0.14,0,0,,0,0,Matches
Eirik Haugan\857411ed,no NOR,DF,Östersund,23,1997,28.3,0,6,3,50,0.21,0.11,0,0,,0,1,Matches
Tobias Heintz\a69cf944,no NOR,MFFW,Häcken,22,1998,13.9,2,32,9,28.1,2.3,0.65,0.06,0.22,,0,0,Matches
Adam Hellborg\19bb1ad8,se SWE,MF,Sirius,22,1998,18.4,3,17,7,41.2,0.92,0.38,0.18,0.43,,0,0,Matches
Isak Hien\12806697,se SWE,DF,Djurgården,22,1999,0.4,0,1,0,0,2.57,0,0,,,0,0,Matches
Benjamin Hjertstrand\c801ab51,se SWE,DF,Örebro,27,1994,25.9,0,12,2,16.7,0.46,0.08,0,0,,0,0,Matches
Kadir Hodzic\2cf7a1e8,se SWE,MF,Mjällby,26,1994,27.7,2,32,14,43.8,1.16,0.51,0.03,0.07,,1,1,Matches
Kalle Holmberg\1b7acd94,se SWE,FW,Djurgården,27,1993,16.9,2,40,12,30,2.36,0.71,0.05,0.17,,0,0,Matches
Samuel Holmén\a54bb0fb,se SWE,MF,Elfsborg,36,1984,5.5,1,10,3,30,1.83,0.55,0,0,,1,1,Matches
Frederik Holst\7f32741e,dk DEN,MF,Elfsborg,26,1994,21.9,1,21,7,33.3,0.96,0.32,0.05,0.14,,0,0,Matches
Felix Hörberg\4e7d3d74,se SWE,MFDF,Östersund,21,1999,23.7,1,18,8,44.4,0.76,0.34,0.06,0.13,,0,0,Matches
Abdul-Halik Hudu\4a26a7a0,gh GHA,MF,Hammarby,20,2000,0,0,0,0,,0,0,,,,0,0,Matches
Deniz Hummet\754f87d6,tr TUR,FWMF,Örebro,24,1996,14.2,5,41,14,34.1,2.89,0.99,0.12,0.36,,0,0,Matches
Bilal Hussein\aff07507,se SWE,MF,AIK Stockholm,20,2000,29.3,1,32,10,31.3,1.09,0.34,0.03,0.1,,0,0,Matches
Jo Inge Berget\f512a009,no NOR,MFFW,Malmö,30,1990,22.4,5,28,12,42.9,1.25,0.54,0.14,0.33,,1,1,Matches
Anton Ingves\f4ec9183,se SWE,MF,Örebro,19,2001,0.1,0,0,0,,0,0,,,,0,0,Matches
Bonke Innocent\546bb36e,ng NGA,MF,Malmö,25,1996,13.4,0,12,0,0,0.89,0,0,,,0,0,Matches
Daleho Irandust\371c77c6,se SWE,MF,Häcken,22,1998,3.8,2,10,4,40,2.66,1.07,0.2,0.5,,0,0,Matches
Erik Israelsson\e8ce206e,se SWE,MF,Kalmar,31,1989,1.5,1,2,1,50,1.31,0.66,0.5,1,,0,0,Matches
Alexander Jallow\b04dff15,se SWE,DFMF,Göteborg,22,1998,28.8,1,30,7,23.3,1.04,0.24,0.03,0.14,,0,0,Matches
Daniel Janevski\ee722e58,se SWE,DF,Degerfors,28,1992,5.2,0,0,0,,0,0,,,,0,0,Matches
Budimir Janoševi?\26d26396,rs SRB,GK,AIK Stockholm,31,1989,16,0,1,0,0,0.06,0,0,,,0,0,Matches
Isak Jansson\a7664548,se SWE,FW,Kalmar,19,2002,13.4,6,38,16,42.1,2.84,1.19,0.16,0.38,,0,0,Matches
Oscar Jansson\a33c4ee2,se SWE,GK,Norrköping,30,1990,30,0,0,0,,0,0,,,,0,0,Matches
Maudo Jarjué\d4945a62,gm GAM,DF,Elfsborg,23,1997,18,1,9,5,55.6,0.5,0.28,0.11,0.2,,0,0,Matches
Mohanad Jeahze\ea93bcd9,iq IRQ,MFDF,Hammarby,23,1997,25.7,1,12,5,41.7,0.47,0.19,0.08,0.2,,0,0,Matches
Jean\50b5a935,br BRA,DFMF,Varberg,25,1995,20.7,0,13,5,38.5,0.63,0.24,0,0,,0,0,Matches
Alexander Jeremejeff\54394643,se SWE,FW,Häcken,27,1993,24.8,11,71,35,49.3,2.86,1.41,0.08,0.17,,5,5,Matches
Bernardo Jeronimo\b611d0d6,br BRA,DF,Göteborg,22,1998,3.9,1,1,1,100,0.25,0.25,1,1,,0,0,Matches
Francis Jno-Baptiste\628a1921,eng ENG,FW,Östersund,21,1999,7,2,9,3,33.3,1.29,0.43,0.22,0.67,,0,0,Matches
