Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Davor Blaževi?\afbb68eb,se SWE,GK,Hammarby,27,1993,1,0,0,0,0,1,0,0,0,0,,,0,Matches
Andreas Blomqvist\ad454818,se SWE,MFFW,Mjällby,28,1992,12,1,0,0,27,9,2,27,8,13,,,0,Matches
Thomas Boakye\241bcd55,gh GHA,MFDF,Halmstad,27,1993,15.1,2,1,0,30,25,5,55,15,13,,,0,Matches
Emmanuel Boateng\efad6707,gh GHA,MF,Elfsborg,23,1997,1.6,1,0,0,2,0,0,0,1,3,,,0,Matches
Darijan Bojani?\aa09d373,se SWE,MF,Hammarby,26,1994,21.8,5,0,0,25,25,1,93,19,25,,,0,Matches
André Boman\5f58ba26,se SWE,MFFW,Varberg,19,2001,2.8,0,0,0,2,5,0,1,1,0,,,0,Matches
Mikael Boman\975410dc,se SWE,FW,Halmstad,32,1988,12.2,0,0,0,6,17,12,15,5,7,,,0,Matches
Johan Brattberg\3906ff9b,se SWE,GK,Häcken,24,1996,1,0,0,0,0,0,0,0,0,0,,,0,Matches
Martin Broberg\ebf906a6,se SWE,FW,Örebro,30,1990,2.6,1,0,0,6,4,2,2,3,2,,,0,Matches
Samuel Brolin\82fdcbec,se SWE,GK,Mjällby,20,2000,10,0,0,0,0,1,0,0,1,0,,,0,Matches
Franz Brorsson\08d37c53,se SWE,DF,Malmö,25,1996,18.1,1,0,0,11,5,0,2,25,8,,,0,Matches
Ekin Bulut\1907a740,se SWE,FW,Sirius,24,1996,0.5,0,0,0,2,0,0,0,0,0,,,0,Matches
Adam Carlén\5d2dd3fd,se SWE,MF,Degerfors,20,2000,27.5,6,1,1,57,43,0,8,25,56,,,0,Matches
Ludvig Carlius\7c605365,se SWE,MF,Mjällby,19,2001,0.1,1,0,0,2,0,0,0,1,1,,,0,Matches
Henrik Castegren\ba20d6d1,se SWE,DF,Norrköping,24,1996,22.3,6,0,0,43,10,1,3,46,28,,,1,Matches
Emanuel Chabo\454ad0bd,se SWE,FW,Norrköping,18,2002,0.2,0,0,0,1,0,0,1,1,0,,,0,Matches
Edward Chilufya\b7b27de0,zm ZAM,FW,Djurgården,21,1999,25.7,1,0,0,36,37,18,52,6,15,,,0,Matches
Anders Christiansen\770ebf00,dk DEN,MF,Malmö,30,1990,16.5,4,0,0,18,44,3,113,24,23,,,0,Matches
Antonio ?olak\bfde3de5,hr CRO,FW,Malmö,27,1993,23.6,3,0,0,32,23,37,24,5,11,,,0,Matches
Charlie Colkett\ecf151ac,eng ENG,MF,Östersund,24,1996,10.4,2,0,0,14,8,0,36,9,7,,,0,Matches
Dennis Collander\9b6a4927,se SWE,MFFW,Örebro,18,2002,15.8,2,0,0,30,24,5,35,17,16,,,0,Matches
Joseph Colley\62e66c88,se SWE,DF,Sirius,21,1999,19.9,2,0,0,19,25,0,0,40,17,,,0,Matches
Jack Cooper Love\0b6360b0,se SWE,FW,Elfsborg,19,2001,0.4,0,0,0,2,1,0,1,0,0,,,0,Matches
Leo Cornic\b3f8e966,no NOR,DF,Djurgården,20,2001,2.3,0,0,0,2,5,0,7,3,7,,,0,Matches
Pontus Dahlberg\2475b06e,se SWE,GK,Häcken,22,1999,8,2,0,0,0,2,0,0,0,0,,,0,Matches
Johan Dahlin\a04e2dd2,se SWE,GK,Malmö,34,1986,18.5,1,0,0,0,1,0,0,1,0,,,0,Matches
Isak Dahlqvist\19965b27,se SWE,FW,Göteborg,19,2001,0.6,0,0,0,1,3,0,3,2,2,,,0,Matches
Villiam Dahlström\9f95d007,se SWE,FW,Degerfors,23,1997,6.6,1,0,0,17,7,2,6,1,4,,,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Degerfors,26,1994,13,3,0,0,1,2,0,0,1,0,,,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Malmö,26,1994,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Dusan Djuri?\b7d4b2d5,se SWE,MF,Halmstad,36,1984,0.3,0,0,0,1,0,0,1,0,0,,,0,Matches
Nikolaos Dosis\64ed4f29,se SWE,MFDF,Östersund,20,2001,17.1,3,0,0,19,9,0,20,13,18,,,0,Matches
Oliver Dovin\9f12e0f8,se SWE,GK,Hammarby,18,2002,7.8,0,0,0,0,3,0,0,0,0,,,0,Matches
Victor Edvardsen\817f3a14,se SWE,FW,Degerfors,25,1996,28.2,4,1,1,31,15,16,151,3,7,,,0,Matches
Curtis Edwards\3480cb6b,eng ENG,MF,Djurgården,27,1994,3.7,0,0,0,3,5,0,5,4,7,,,0,Matches
Noah Eile\e1574c2d,se SWE,DF,Malmö,18,2002,0.3,0,0,0,0,0,0,0,1,0,,,0,Matches
Albert Ejupi\aae04d1c,se SWE,MF,Varberg,28,1992,19,6,0,0,34,35,0,12,44,25,,,0,Matches
Hjalmar Ekdal\3d554589,se SWE,DF,Djurgården,22,1998,24.8,3,0,0,19,34,1,0,56,12,,,0,Matches
Godswill Ekpolo\9f74c39b,ng NGA,DFMF,Häcken,25,1995,28.7,4,0,0,38,27,4,58,57,51,,,0,Matches
Oliver Ekroth\5707648e,se SWE,DF,Degerfors,29,1992,25.5,6,0,0,43,19,2,0,45,12,,,0,Matches
Zachary Elbouzedi\1a5ed92d,ie IRL,MF,AIK Stockholm,22,1998,17.6,2,0,0,8,9,4,88,7,12,,,0,Matches
Ben Engdahl\366a125e,se SWE,DF,Hammarby,17,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Jusef Erabi\5106b69d,se SWE,FW,Hammarby,17,2003,0.3,0,0,0,1,1,0,0,0,0,,,0,Matches
Carljohan Eriksson\058b630f,fi FIN,GK,Mjällby,25,1995,20,1,0,0,0,5,0,0,0,0,,,0,Matches
Magnus Eriksson\5571f8b5,se SWE,MF,Djurgården,30,1990,30,2,0,0,35,91,0,261,27,21,,,0,Matches
Sebastian Eriksson\35d76360,se SWE,MFDF,Göteborg,32,1989,12.7,5,0,0,27,15,1,21,6,11,,,0,Matches
August Erlingmark\ab54f943,se SWE,MFDF,Göteborg,22,1998,22.3,8,0,0,27,13,0,8,31,25,,,0,Matches
Alexander Faltsetas\55fe5670,se SWE,MF,Häcken,33,1987,16.1,8,0,0,20,19,1,3,24,19,,,0,Matches
Mads Fenger\df894060,dk DEN,DFMF,Hammarby,30,1990,28.3,5,0,0,22,20,1,30,50,19,,,0,Matches
Josip Filipovic\28a57f0e,hr CRO,DF,Mjällby,24,1996,0.6,0,0,0,1,0,0,7,0,0,,,0,Matches
Hampus Finndell\5afc236c,se SWE,MF,Djurgården,20,2000,24.3,5,0,0,24,22,0,15,31,33,,,0,Matches
Adama Fofana\c98a3b4a,ci CIV,MFDF,Varberg,21,1999,9.5,2,0,0,18,19,3,45,19,11,,,0,Matches
Alexander Fransson\2e85c59c,se SWE,MF,Norrköping,26,1994,29.5,2,0,0,31,18,1,24,33,20,,,0,Matches
Ari Freyr Skúlason\cce93ecd,is ISL,MFDF,Norrköping,33,1987,17.4,4,0,0,21,27,0,37,15,11,,,0,Matches
Erik Friberg\3eaa3f36,se SWE,MF,Häcken,34,1986,11.3,6,0,0,15,7,0,23,22,13,,,0,Matches
Per Frick\374368f1,se SWE,FW,Elfsborg,28,1992,23.2,7,0,0,70,35,15,12,9,13,,,0,Matches
Richard Friday\1034f1e2,ng NGA,MFFW,Örebro,20,2000,6.8,3,0,0,16,23,9,18,5,13,,,0,Matches
Ludvig Fritzson\768667c0,se SWE,MF,Östersund,25,1995,20.8,6,0,0,33,28,0,6,29,12,,,0,Matches
Nils Fröling\5c9c3b66,se SWE,MFFW,Kalmar,20,2000,19.2,1,0,0,9,18,18,31,8,23,,,0,Matches
Jeffrey Gal\a689bb06,se SWE,GK,Degerfors,27,1993,4,0,0,0,0,2,0,0,0,0,,,0,Matches
Romain Gall\3da8cba0,us USA,MF,Örebro,26,1995,6.7,0,0,0,12,5,2,17,7,6,,,0,Matches
Nordin Gerzi?\acc80246,se SWE,MF,Örebro,37,1983,12.8,4,0,0,18,32,0,33,10,12,,,0,Matches
Henok Goitom\c3680236,er ERI,FW,AIK Stockholm,36,1984,18.3,0,0,0,25,38,10,12,5,9,,,0,Matches
Robert Gojani\65465292,se SWE,MF,Elfsborg,28,1992,13.4,2,0,0,21,16,1,26,23,12,,,0,Matches
Sebastian Grach\72aefb0b,se SWE,FWDF,Östersund,19,2001,9,1,0,0,16,12,4,5,6,11,,,0,Matches
Gustav Granath\52cf894f,se SWE,DFMF,Degerfors,23,1997,11.5,1,0,0,11,10,0,21,13,8,,,1,Matches
Christos Gravius\9f10b799,se SWE,MF,Degerfors,23,1997,26.2,6,0,0,22,23,1,53,41,23,,,0,Matches
Yahav Gurfinkel\e93d8d1a,il ISR,MF,Norrköping,22,1998,1.2,0,0,0,2,2,1,5,4,7,,,0,Matches
Samuel Gustafson\b1e61f23,se SWE,MF,Häcken,26,1995,1.4,0,0,0,2,1,0,1,3,1,,,0,Matches
Carl Gustafsson\c7834633,se SWE,MF,Kalmar,20,2000,27.9,2,0,0,25,41,1,63,28,19,,,0,Matches
Viktor Gustafsson\385c6006,se SWE,MF,Mjällby,25,1995,17.8,6,0,0,34,21,0,28,24,21,,,0,Matches
Jesper Gustavsson\34376913,se SWE,MFFW,Mjällby,26,1994,24.6,8,0,0,47,29,3,7,24,25,,,0,Matches
Sveinn Guðjohnsen\6a7bdb3f,is ISL,FW,Elfsborg,22,1998,1.7,1,1,0,6,3,3,2,0,1,,,0,Matches
Jón Guðni Fjóluson\7b8ff0ac,is ISL,DF,Hammarby,31,1989,20.2,2,0,0,22,8,1,5,27,17,,,0,Matches
Peter Gwargis\3fd07ca3,se SWE,MF,Malmö,20,2000,0.9,0,1,0,3,2,0,1,2,0,,,0,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Kalmar,26,1994,26,2,0,0,1,4,0,0,1,3,,,0,Matches
Sead Haksabanovi?\d2fd7c14,me MNE,FWMF,Norrköping,21,1999,7,1,0,0,10,10,0,24,1,5,,,0,Matches
Jetmir Haliti\7a381b1f,se SWE,DF,AIK Stockholm,24,1996,1.6,0,0,0,1,1,0,1,1,2,,,0,Matches
Jiloan Hamad\a1d609ca,iq IRQ,MF,Örebro,30,1990,14.3,2,1,0,14,19,2,37,10,8,,,0,Matches
Johan Hammar\9dc0fa97,se SWE,DF,Häcken,26,1994,18.4,7,2,1,28,8,0,1,34,10,,,0,Matches
Marek Hamšík\e6ad16b2,sk SVK,MF,Göteborg,33,1987,4.9,0,0,0,2,3,1,23,3,2,,,0,Matches
Kristoffer Hansen\9e3e5d05,dk DEN,DFMF,Häcken,18,2002,14.1,2,0,0,12,25,8,29,20,16,,,0,Matches
Eirik Haugan\857411ed,no NOR,DF,Östersund,23,1997,28.3,5,0,0,21,27,1,0,52,26,,,0,Matches
Tobias Heintz\a69cf944,no NOR,MFFW,Häcken,22,1998,13.9,2,0,0,31,21,2,44,10,11,,,0,Matches
Adam Hellborg\19bb1ad8,se SWE,MF,Sirius,22,1998,18.4,11,0,0,32,39,0,10,21,15,,,0,Matches
Isak Hien\12806697,se SWE,DF,Djurgården,22,1999,0.4,0,0,0,1,0,0,0,0,1,,,0,Matches
Benjamin Hjertstrand\c801ab51,se SWE,DF,Örebro,27,1994,25.9,2,0,0,25,23,0,31,52,28,,,1,Matches
Kadir Hodzic\2cf7a1e8,se SWE,MF,Mjällby,26,1994,27.7,5,0,0,47,21,1,170,29,24,,,0,Matches
Kalle Holmberg\1b7acd94,se SWE,FW,Djurgården,27,1993,16.9,3,0,0,30,14,4,2,5,11,,,0,Matches
Samuel Holmén\a54bb0fb,se SWE,MF,Elfsborg,36,1984,5.5,5,0,0,20,9,0,13,1,13,,,0,Matches
Frederik Holst\7f32741e,dk DEN,MF,Elfsborg,26,1994,21.9,8,1,1,46,39,2,28,36,28,,,0,Matches
Felix Hörberg\4e7d3d74,se SWE,MFDF,Östersund,21,1999,23.7,4,0,0,16,20,3,173,40,12,,,0,Matches
Abdul-Halik Hudu\4a26a7a0,gh GHA,MF,Hammarby,20,2000,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Deniz Hummet\754f87d6,tr TUR,FWMF,Örebro,24,1996,14.2,2,0,0,17,17,13,7,6,6,,,0,Matches
Bilal Hussein\aff07507,se SWE,MF,AIK Stockholm,20,2000,29.3,2,0,0,26,31,0,14,57,18,,,0,Matches
Jo Inge Berget\f512a009,no NOR,MFFW,Malmö,30,1990,22.4,3,0,0,32,33,6,69,16,26,,,0,Matches
Anton Ingves\f4ec9183,se SWE,MF,Örebro,19,2001,0.1,0,0,0,1,1,0,0,0,1,,,0,Matches
Bonke Innocent\546bb36e,ng NGA,MF,Malmö,25,1996,13.4,6,0,0,30,11,0,4,28,21,,,0,Matches
Daleho Irandust\371c77c6,se SWE,MF,Häcken,22,1998,3.8,2,0,0,7,8,0,17,0,2,,,0,Matches
Erik Israelsson\e8ce206e,se SWE,MF,Kalmar,31,1989,1.5,1,0,0,1,5,0,0,0,3,,,0,Matches
Alexander Jallow\b04dff15,se SWE,DFMF,Göteborg,22,1998,28.8,2,0,0,21,20,0,101,44,29,,,0,Matches
Daniel Janevski\ee722e58,se SWE,DF,Degerfors,28,1992,5.2,0,0,0,10,2,1,1,16,8,,,0,Matches
Budimir Janoševi?\26d26396,rs SRB,GK,AIK Stockholm,31,1989,16,2,0,0,0,5,0,0,0,1,,,0,Matches
Isak Jansson\a7664548,se SWE,FW,Kalmar,19,2002,13.4,2,0,0,18,10,10,13,3,6,,,0,Matches
Oscar Jansson\a33c4ee2,se SWE,GK,Norrköping,30,1990,30,0,0,0,0,8,0,0,2,0,,,0,Matches
Maudo Jarjué\d4945a62,gm GAM,DF,Elfsborg,23,1997,18,1,1,0,9,15,2,5,29,17,,,0,Matches
Mohanad Jeahze\ea93bcd9,iq IRQ,MFDF,Hammarby,23,1997,25.7,4,0,0,24,21,7,181,36,21,,,0,Matches
Jean\50b5a935,br BRA,DFMF,Varberg,25,1995,20.7,6,0,0,36,34,1,163,48,36,,,0,Matches
Alexander Jeremejeff\54394643,se SWE,FW,Häcken,27,1993,24.8,2,0,0,34,38,29,5,12,5,,,0,Matches
Bernardo Jeronimo\b611d0d6,br BRA,DF,Göteborg,22,1998,3.9,1,0,0,8,4,0,0,13,8,,,0,Matches
Francis Jno-Baptiste\628a1921,eng ENG,FW,Östersund,21,1999,7,1,0,0,10,6,6,1,0,4,,,0,Matches
Ísak Jóhannesson\c16c4e3b,is ISL,MF,Norrköping,17,2003,14.5,3,0,0,9,16,3,65,7,9,,,0,Matches
Alexander Johansson\835023a5,se SWE,FW,Halmstad,21,2000,1.1,1,0,0,5,2,2,0,0,0,,,0,Matches
Alexander Johansson\94180993,se SWE,FWMF,Varberg,25,1995,6.7,3,0,0,15,11,4,18,10,2,,,0,Matches
Andreas Johansson\49a0c4f9,se SWE,DF,Halmstad,38,1982,30,2,0,0,15,14,0,7,57,23,,,0,Matches
Carl Johansson\02f7a79a,se SWE,DF,Göteborg,26,1994,17.5,6,0,0,26,11,1,1,30,17,,,0,Matches
Herman Johansson\6f864562,se SWE,FW,Mjällby,23,1997,1,1,0,0,7,1,0,1,0,1,,,0,Matches
Marko Johansson\d0975397,se SWE,GK,Malmö,22,1998,9,0,0,0,0,1,0,0,0,0,,,0,Matches
Noah Johansson\4bb5e605,se SWE,DF,Varberg,17,2003,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Piotr Johansson\5a471a3e,se SWE,MFDF,Kalmar,25,1995,28.1,2,0,0,28,30,5,74,23,15,,,0,Matches
Sam Johnson\c423d845,lr LBR,FW,Mjällby,27,1993,1,0,0,0,2,1,1,0,0,0,,,0,Matches
Bayéré Junior Loué\fbd12242,ci CIV,FW,Hammarby,20,2001,0.8,0,0,0,0,0,1,0,0,1,,,0,Matches
Elliot Käck\e8f80c49,se SWE,DF,Djurgården,31,1989,28,3,0,0,27,12,3,126,30,30,,,0,Matches
Eric Kahl\e44381c2,se SWE,DF,AIK Stockholm,19,2001,2.1,1,0,0,5,3,0,11,0,1,,,0,Matches
Yahya Kalley\b1120985,se SWE,DF,Göteborg,19,2001,3.2,2,0,0,9,3,1,10,1,5,,,0,Matches
Sadat Karim\caae2e5c,gh GHA,FW,Halmstad,29,1991,21.5,0,0,0,34,56,21,20,6,16,,,0,Matches
Johan Karlsson\03ee1876,se SWE,MFDF,Sirius,23,1997,7.7,1,0,0,11,17,0,9,5,3,,,0,Matches
Per Karlsson\766caf38,se SWE,DF,AIK Stockholm,35,1986,2.3,1,0,0,2,0,0,0,2,1,,,0,Matches
Tobias Karlsson\29f54da0,se SWE,DFMF,Häcken,25,1995,19,6,0,0,42,26,0,11,32,18,,,1,Matches
Victor Karlsson\a1e70080,se SWE,FWMF,Varberg,19,2001,6.7,1,0,0,6,8,2,33,5,5,,,0,Matches
Aly Keita\92c62328,gn GUI,GK,Östersund,34,1986,23.2,3,0,0,1,8,0,0,0,0,,,0,Matches
Abdul Khalili\668c0227,se SWE,MF,Hammarby,28,1992,9.3,4,0,0,26,30,1,33,8,4,,,0,Matches
Kristoffer Khazeni\8b2e1b87,se SWE,MFFW,Norrköping,25,1995,10,2,0,0,24,18,3,22,9,15,,,0,Matches
Daan Klinkenberg\5c48912b,nl NED,DF,Mjällby,25,1996,5.7,0,0,0,8,4,0,2,10,4,,,0,Matches
