Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Dusan Djuri?\b7d4b2d5,se SWE,MF,Halmstad,36,1984,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nikolaos Dosis\64ed4f29,se SWE,MFDF,Östersund,20,2001,25,16,1543,17.1,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Oliver Dovin\9f12e0f8,se SWE,GK,Hammarby,18,2002,8,8,703,7.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Victor Edvardsen\817f3a14,se SWE,FW,Degerfors,25,1996,29,29,2542,28.2,14,5,13,1,1,4,1,0.5,0.18,0.67,0.46,0.64,Matches
Curtis Edwards\3480cb6b,eng ENG,MF,Djurgården,27,1994,7,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Eile\e1574c2d,se SWE,DF,Malmö,18,2002,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Albert Ejupi\aae04d1c,se SWE,MF,Varberg,28,1992,23,20,1714,19,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Hjalmar Ekdal\3d554589,se SWE,DF,Djurgården,22,1998,26,25,2234,24.8,4,0,4,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Godswill Ekpolo\9f74c39b,ng NGA,DFMF,Häcken,25,1995,29,29,2584,28.7,3,2,3,0,0,4,0,0.1,0.07,0.17,0.1,0.17,Matches
Oliver Ekroth\5707648e,se SWE,DF,Degerfors,29,1992,26,25,2296,25.5,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Zachary Elbouzedi\1a5ed92d,ie IRL,MF,AIK Stockholm,22,1998,20,18,1580,17.6,1,3,1,0,0,2,0,0.06,0.17,0.23,0.06,0.23,Matches
Ben Engdahl\366a125e,se SWE,DF,Hammarby,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jusef Erabi\5106b69d,se SWE,FW,Hammarby,17,2003,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
