Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Luiyi de Lucas\4968de41,do DOM,DF,Haka,26,1994,24.4,4,1,0,,,,,,,,,0,Matches
Hernán Luna\ca6e2543,co COL,MF,Ilves,21,1999,3.7,1,0,0,,,,,,,,,0,Matches
Jean Mabinda\8d382624,fi FIN,DF,HIFK,20,2000,4.2,0,0,0,,,,,,,,,0,Matches
Niba MacDonald\f227d916,cm CMR,DF,KuPS,26,1994,3.3,0,0,0,,,,,,,,,0,Matches
Aapo Mäenpää\f716eed1,fi FIN,DF,IFK Mariehamn,23,1998,10.8,2,0,0,,,,,,,,,0,Matches
Niilo Mäenpää\2fd1571d,fi FIN,MF,IFK Mariehamn,23,1998,25.1,2,0,0,,,,,,,,,0,Matches
Ryan Mahuta\304154d7,fi FIN,DF,Inter Turku,18,2002,1.7,1,0,0,,,,,,,,,0,Matches
Antti Mäkijärvi\8a3fb84f,fi FIN,MF,KTP,27,1993,12.7,1,0,0,,,,,,,,,0,Matches
Obed Malolo\a7c84c43,fi FIN,MF,AC Oulu,23,1997,15.5,4,0,0,,,,,,,,,0,Matches
Henri Malundama\7c56140e,fi FIN,MF,Haka,25,1995,24.2,2,0,0,,,,,,,,,0,Matches
Tero Mäntylä\232a551f,fi FIN,DF,SJK,29,1991,0.1,0,0,0,,,,,,,,,0,Matches
Jean Marie Dongou\fd0bb7d2,cm CMR,FW,FC Honka,25,1995,9.9,0,0,0,,,,,,,,,0,Matches
Niko Markkula\76a2d06a,fi FIN,DFMF,SJK,30,1990,5.9,0,0,0,,,,,,,,,0,Matches
Aati Marttinen\cc020080,fi FIN,GK,Inter Turku,23,1997,2,1,0,0,,,,,,,,,0,Matches
Elias Mastokangas\8af4033a,fi FIN,MF,IFK Mariehamn,19,2001,15.4,1,0,0,,,,,,,,,0,Matches
Sakari Mattila\31369209,fi FIN,DFMF,HIFK,31,1989,19.7,5,0,0,,,,,,,,,0,Matches
Joel Mattsson\407a757c,fi FIN,MF,IFK Mariehamn,21,1999,17,5,0,0,,,,,,,,,0,Matches
Xuseen Maxamed\42d4912b,so SOM,FW,Haka,23,1997,5.3,1,0,0,,,,,,,,,0,Matches
Tatu Miettunen\5d8301f3,fi FIN,DF,Ilves,25,1995,24,4,0,0,,,,,,,,,0,Matches
Rui Modesto\4f9c2d8c,pt POR,FW,FC Honka,21,1999,15.2,3,0,0,,,,,,,,,0,Matches
Henrik Moisander\feb2666a,fi FIN,GK,Inter Turku,35,1985,25,1,0,0,,,,,,,,,0,Matches
Eetu Mömmö\7a39e5dc,fi FIN,FW,Ilves,18,2002,12.1,1,0,0,,,,,,,,,0,Matches
Valtteri Moren\a611cc92,fi FIN,DF,HJK,29,1991,20.2,2,0,0,,,,,,,,,0,Matches
Murilo\1d438d6c,br BRA,DF,SJK,25,1995,24.9,10,0,0,,,,,,,,,0,Matches
Dylan Murnane\fda2fe68,au AUS,DF,HJK,26,1995,5.3,1,0,0,,,,,,,,,1,Matches
Tim Murray\dd0d043b,us USA,GK,FC Honka,33,1987,25.7,0,0,0,,,,,,,,,0,Matches
Pierre-Daniel N'Guinda\fb04404b,fr FRA,DF,KTP,24,1996,6.5,3,0,0,,,,,,,,,0,Matches
Ariel Ngueukam\3e589a7c,cm CMR,FW,SJK,32,1988,18.8,3,0,0,,,,,,,,,0,Matches
Sylvanus Nimely\b9fd8066,lr LBR,FW,Ilves,22,1998,7.2,1,0,0,,,,,,,,,0,Matches
Urho Nissilä\781074c2,fi FIN,MF,KuPS,24,1996,22.6,4,0,0,,,,,,,,,0,Matches
Jiri Nissinen\052e75d7,fi FIN,MF,IFK Mariehamn,23,1997,9.5,0,0,0,,,,,,,,,0,Matches
Taddeus Nkeng\142cdff3,cm CMR,FW,HJK,20,2000,0.2,0,0,0,,,,,,,,,0,Matches
Marc Nordqvist\32267da4,fi FIN,GK,IFK Mariehamn,23,1997,2,0,0,0,,,,,,,,,0,Matches
Anselmi Nurmela\db93ba9d,fi FIN,MF,AC Oulu,24,1996,21.8,2,0,0,,,,,,,,,0,Matches
Noah Nurmi\51ecb8f4,fi FIN,DF,Inter Turku,19,2001,14.4,4,0,0,,,,,,,,,0,Matches
Lassi Nurmos\3bf131db,fi FIN,DF,AC Oulu,26,1994,7.3,3,0,0,,,,,,,,,0,Matches
Daniel O'Shaughnessy\3eeec655,fi FIN,DF,HJK,26,1994,17,1,0,0,,,,,,,,,0,Matches
Michael Ogungbaro\6c5750e4,ng NGA,MF,KTP,24,1996,20.6,6,0,0,,,,,,,,,0,Matches
Matias Ojala\7630423c,fi FIN,MF,Inter Turku,25,1995,14.7,1,0,0,,,,,,,,,0,Matches
Salomo Ojala\21cb6e08,fi FIN,FW,Haka,23,1997,6.4,1,0,0,,,,,,,,,0,Matches
Frankline Okoye\e30dce2e,ng NGA,DF,IFK Mariehamn,21,1999,7.3,4,0,0,,,,,,,,,0,Matches
Henrik Ölander\678c3e97,fi FIN,DF,AC Oulu,23,1997,7.8,3,0,0,,,,,,,,,0,Matches
Denys Oliynyk\8d344a00,ua UKR,MF,SJK,33,1987,19.7,1,0,0,,,,,,,,,0,Matches
Otto Ollikainen\2f9c63f4,fi FIN,DF,FC Honka,20,2001,1,0,0,0,,,,,,,,,0,Matches
Tuomas Ollila\3791693f,fi FIN,DF,Ilves,20,2000,14.8,1,0,0,,,,,,,,,0,Matches
Valtteri Olsbo\0ac8eafd,fi FIN,DF,SJK,19,2001,0,0,0,0,,,,,,,,,0,Matches
Anthony Olusanya\095ec83c,fi FIN,FW,HJK,20,2000,5,1,0,0,,,,,,,,,0,Matches
Lucky Onyebuchi\1b81c023,ng NGA,MF,AC Oulu,21,1999,14.3,5,0,0,,,,,,,,,0,Matches
Jesse Öst\4189fccc,fi FIN,GK,SJK,30,1990,27,2,0,0,,,,,,,,,0,Matches
Eric Oteng\4666de19,gh GHA,MF,Ilves,19,2001,14.3,0,0,0,,,,,,,,,0,Matches
Taha Özcelik\25c78646,fi FIN,MF,Ilves,20,2000,5.3,1,0,0,,,,,,,,,0,Matches
Aleksi Paananen\716d1a59,fi FIN,FWMF,Inter Turku,28,1993,17.5,4,0,0,,,,,,,,,0,Matches
Matias Paavola\1938b65b,fi FIN,MF,KTP,20,2000,10.6,2,0,0,,,,,,,,,0,Matches
Tino Palmasto\8993324c,fi FIN,DF,HIFK,22,1998,6.3,0,0,0,,,,,,,,,0,Matches
Hannu Patronen\ddc5595c,fi FIN,DF,HIFK,36,1984,1,0,0,0,,,,,,,,,0,Matches
Emile Paul Tendeng\1e846b4d,sn SEN,FWMF,IFK Mariehamn,28,1992,10.6,4,0,0,,,,,,,,,0,Matches
Roope Paunio\6a782f71,fi FIN,GK,FC Honka,18,2002,1.3,0,0,0,,,,,,,,,0,Matches
Matti Peltola\7af31216,fi FIN,MF,HJK,18,2002,10.7,4,0,0,,,,,,,,,0,Matches
Juhani Pennanen\98ebfe33,fi FIN,GK,AC Oulu,27,1993,6.5,0,0,0,,,,,,,,,0,Matches
Teemu Penninkangas\92f87cd9,fi FIN,DF,Lahti,28,1992,12,5,0,0,,,,,,,,,0,Matches
Pyry Piirainen\c1aec178,fi FIN,GK,KTP,20,2000,1,0,0,0,,,,,,,,,0,Matches
Juho Pirttijoki\ad65975d,fi FIN,DF,KuPS,24,1996,3.3,1,0,0,,,,,,,,,0,Matches
David Popa\981e48c6,ro ROU,FW,AC Oulu,23,1997,0.7,0,0,0,,,,,,,,,0,Matches
Anton Popovitch\41ab24a2,fi FIN,MF,KuPS,24,1996,24.4,5,0,0,,,,,,,,,0,Matches
Tino Purme\22d5b436,fi FIN,MF,Haka,22,1998,12.2,1,0,0,,,,,,,,,0,Matches
Niklas Pyyhtiä\88f53b75,fi FIN,MF,FC Honka,17,2003,12.6,1,0,0,,,,,,,,,0,Matches
Rafinha\fd3c9b6e,br BRA,DFFW,AC Oulu,38,1982,23.6,6,1,1,,,,,,,,,0,Matches
Matias Rale\adf51131,fi FIN,DF,FC Honka,19,2001,7.9,0,0,0,,,,,,,,,0,Matches
David Ramadingaye\bba865ce,fi FIN,MF,KTP,31,1989,18.4,10,0,0,,,,,,,,,0,Matches
Konsta Rasimus\1ce12fdf,fi FIN,MF,FC Honka,30,1990,19,0,0,0,,,,,,,,,0,Matches
Miska Rautiola\68c7c3c4,fi FIN,MF,Ilves,22,1998,6.6,1,0,0,,,,,,,,,0,Matches
Antonio Reguero\c698c3f3,es ESP,GK,Lahti,38,1982,21,4,0,0,,,,,,,,,0,Matches
Paulo Ricardo\d518a829,br BRA,DF,KuPS,26,1994,12,3,0,0,,,,,,,,,0,Matches
