Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Peter Therkildsen\36f9e534,dk DEN,MF,Haugesund,22,1998,28.4,2,26,11,42.3,0.91,0.39,0.08,0.18,,0,0,Matches
Odin Thiago Holm\0355010f,no NOR,MF,Vålerenga,18,2003,9.4,3,14,6,42.9,1.49,0.64,0.21,0.5,,0,0,Matches
Joachim Thomassen\ebc06041,no NOR,MF,Sarpsborg 08,32,1988,26.4,3,17,8,47.1,0.64,0.3,0.18,0.38,,0,0,Matches
Nicolaj Thomsen\e2bf2abc,dk DEN,DF,Vålerenga,27,1993,2.8,1,6,3,50,2.18,1.09,0.17,0.33,,0,0,Matches
Mathias Tjoland\e2d36b1b,no NOR,MF,Haugesund,16,2004,0,0,0,0,,0,0,,,,0,0,Matches
Kristoffer Tokstad\00337474,no NOR,MFFW,Strømsgodset,29,1991,6.4,3,14,5,35.7,2.18,0.78,0.21,0.6,,0,0,Matches
Jonatan Tollås\e8994bec,no NOR,DF,Vålerenga,30,1990,27.5,3,8,5,62.5,0.29,0.18,0.38,0.6,,0,0,Matches
Kristian Torgersen\58265b65,no NOR,MF,Stabæk,17,2003,5.2,0,1,0,0,0.19,0,0,,,0,0,Matches
Fredrik Torsteinbø\49e9ac62,no NOR,MFFW,Viking,29,1991,9.5,0,10,1,10,1.05,0.1,0,0,,0,0,Matches
Tomas Totland\8bb174fc,no NOR,MF,Tromsø,22,1998,26.6,5,25,12,48,0.94,0.45,0.2,0.42,,0,0,Matches
Sebastian Tounekti\584fee1f,tn TUN,FW,Bodø/Glimt,18,2002,0.8,0,1,1,100,1.3,1.3,0,0,,0,0,Matches
Mai Traore\d5f32f5e,cg CGO,FW,Viking,21,1999,2.8,0,3,1,33.3,1.07,0.36,0,0,,0,0,Matches
Zlatko Tripi?\f6d4b6b2,no NOR,FWMF,Viking,28,1992,20.1,7,61,21,34.4,3.03,1.04,0.1,0.29,,1,1,Matches
Jon-Helge Tveita\b7705481,no NOR,MFDF,Brann,29,1992,2.7,1,6,3,50,2.25,1.13,0.17,0.33,,0,0,Matches
Isaac Twum\760f3c1b,gh GHA,MF,Mjøndalen,,,19.6,1,25,8,32,1.28,0.41,0.04,0.13,,0,0,Matches
Henrik Udahl\bd5d1d10,no NOR,FW,Vålerenga,24,1997,12.9,6,32,13,40.6,2.49,1.01,0.19,0.46,,0,0,Matches
Eirik Ulland Andersen\5f06ae82,no NOR,MF,Molde,28,1992,15.5,6,43,15,34.9,2.78,0.97,0.14,0.4,,0,0,Matches
Joakim Våge Nilsen\14d4c059,no NOR,DFMF,Haugesund,29,1991,0,0,0,0,,0,0,,,,0,0,Matches
Pavle Vagi?\8f906c5f,se SWE,DFMF,Rosenborg,21,2000,8.4,0,0,0,,0,0,,,,0,0,Matches
Marc Vales\3ac2d87f,ad AND,DF,Sandefjord,30,1990,12.1,1,4,2,50,0.33,0.17,0.25,0.5,,0,0,Matches
Enric Vallès\1d9c1eca,es ESP,MF,Sandefjord,30,1990,4,0,4,1,25,0.99,0.25,0,0,,0,0,Matches
Gustav Valsvik\482e9289,no NOR,DF,Strømsgodset,27,1993,28.8,3,26,14,53.8,0.9,0.49,0.12,0.21,,0,0,Matches
Stefano Vecchia\023a32ea,se SWE,FWMF,Rosenborg,26,1995,13.9,11,41,20,48.8,2.95,1.44,0.24,0.5,,1,1,Matches
Deyver Vega\29c0b088,cr CRC,FW,Sandefjord,28,1992,2.3,0,7,1,14.3,2.99,0.43,0,0,,0,0,Matches
Kristoffer Velde\c5c1627c,no NOR,MFFW,Haugesund,21,1999,26.6,7,68,27,39.7,2.56,1.02,0.09,0.22,,1,1,Matches
Niklas Vesterlund\3829be9f,dk DEN,MFDF,Tromsø,21,1999,15.2,2,8,6,75,0.53,0.39,0.25,0.33,,0,0,Matches
Hugo Vetlesen\aa982b0f,no NOR,MFFW,Bodø/Glimt,20,2000,13,5,35,13,37.1,2.69,1,0.14,0.38,,0,0,Matches
