Player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches
Magnus Grødem\f6e8ee38,Magnus Grødem\f6e8ee38,no NOR,MF,22.0,19.0,1.0,284.0,3.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.32,0.63,0.32,0.63,Matches
Fredrik Sjølstad\ce22ca27,Fredrik Sjølstad\ce22ca27,no NOR,MF,26.0,6.0,0.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mathis Bolly\e9895d1c,Mathis Bolly\e9895d1c,ci CIV,FWMF,30.0,8.0,0.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Björn Sigurðarson\bb79b58f,Björn Sigurðarson\bb79b58f,is ISL,FW,29.0,1.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simen Beck\1f5d1c30,Simen Beck\1f5d1c30,no NOR,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Jacob Bolsø\0d3a4054,Jacob Bolsø\0d3a4054,no NOR,FW,18.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Alex Craninx\b947001e,Alex Craninx\b947001e,es ESP,GK,25.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Mathias Eriksen Ranmark\e04315c2,Mathias Eriksen Ranmark\e04315c2,no NOR,GK,25.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Peder Lervik\ce750fd2,Peder Lervik\ce750fd2,no NOR,GK,15.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Mathias Løvik\f17aa65c,Mathias Løvik\f17aa65c,no NOR,MF,17.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Niklas Ødegård\76d0e227,Niklas Ødegård\76d0e227,no NOR,MF,16.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Joe Bell\7825847e,Joe Bell\7825847e,nz NZL,MF,21.0,27.0,27.0,2387.0,26.5,1.0,8.0,1.0,0.0,0.0,5.0,0.0,0.04,0.3,0.34,0.04,0.34,Matches
Veton Berisha\9c145144,Veton Berisha\9c145144,no NOR,FW,26.0,28.0,27.0,2334.0,25.9,22.0,5.0,16.0,6.0,6.0,2.0,0.0,0.85,0.19,1.04,0.62,0.81,Matches
Viljar Vevatne\fc5656a1,Viljar Vevatne\fc5656a1,no NOR,DF,26.0,29.0,25.0,2225.0,24.7,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Harald Tangen\550f5516,Harald Tangen\550f5516,no NOR,MF,20.0,27.0,22.0,1990.0,22.1,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.23,0.09,0.32,0.23,0.32,Matches
Zlatko Tripi?\f6d4b6b2,Zlatko Tripi?\f6d4b6b2,no NOR,FWMF,28.0,23.0,22.0,1813.0,20.1,7.0,4.0,6.0,1.0,1.0,4.0,0.0,0.35,0.2,0.55,0.3,0.5,Matches
Sebastian Sebulonsen\d62063b7,Sebastian Sebulonsen\d62063b7,no NOR,DF,21.0,24.0,21.0,1791.0,19.9,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Kevin Kabran\a1d6139f,Kevin Kabran\a1d6139f,se SWE,FWMF,27.0,28.0,19.0,1812.0,20.1,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.15,0.3,0.45,0.15,0.45,Matches
Kristoffer Løkberg\4e6fb569,Kristoffer Løkberg\4e6fb569,no NOR,MF,29.0,21.0,19.0,1295.0,14.4,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Henrik Heggheim\8a3aabc1,Henrik Heggheim\8a3aabc1,no NOR,DF,19.0,17.0,17.0,1483.0,16.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rolf Daniel Vikstøl\403d44ed,Rolf Daniel Vikstøl\403d44ed,no NOR,DF,31.0,22.0,17.0,1333.0,14.8,2.0,1.0,2.0,0.0,0.0,6.0,0.0,0.14,0.07,0.2,0.14,0.2,Matches
Samúel Friðjónsson\55557b25,Samúel Friðjónsson\55557b25,is ISL,MF,24.0,25.0,16.0,1493.0,16.6,5.0,2.0,5.0,0.0,0.0,4.0,0.0,0.3,0.12,0.42,0.3,0.42,Matches
Arild Østbø\30263816,Arild Østbø\30263816,no NOR,GK,29.0,14.0,13.0,1241.0,13.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianni Stensness\b9549894,Gianni Stensness\b9549894,au AUS,DF,21.0,14.0,13.0,1179.0,13.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Yann-Erik de Lanlay\42fe6b05,Yann-Erik de Lanlay\42fe6b05,no NOR,FWMF,28.0,20.0,10.0,989.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Iven Austbø\f461ebf7,Iven Austbø\f461ebf7,no NOR,GK,35.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fredrik Torsteinbø\49e9ac62,Fredrik Torsteinbø\49e9ac62,no NOR,MFFW,29.0,10.0,10.0,859.0,9.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
David Brekalo\fd594b15,David Brekalo\fd594b15,si SVN,DF,22.0,11.0,8.0,783.0,8.7,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.23,0.0,0.23,0.23,0.23,Matches
Runar Hove\ee3eec6e,Runar Hove\ee3eec6e,no NOR,DF,25.0,14.0,8.0,782.0,8.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Shayne Pattynama\a9acaa6b,Shayne Pattynama\a9acaa6b,nl NED,DFMF,22.0,24.0,7.0,899.0,10.0,2.0,5.0,2.0,0.0,0.0,3.0,0.0,0.2,0.5,0.7,0.2,0.7,Matches
Patrik Gunnarsson\4d39152d,Patrik Gunnarsson\4d39152d,is ISL,GK,20.0,7.0,7.0,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sondre Bjørshol\d9e76115,Sondre Bjørshol\d9e76115,no NOR,DF,26.0,13.0,6.0,515.0,5.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Mai Traore\d5f32f5e,Mai Traore\d5f32f5e,cg CGO,FW,21.0,10.0,3.0,253.0,2.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sondre Auklend\aa744585,Sondre Auklend\aa744585,no NOR,FW,17.0,9.0,2.0,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simen Kvia-Egeskog\63826865,Simen Kvia-Egeskog\63826865,no NOR,FW,17.0,12.0,1.0,188.0,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48,Matches
Herman Haugen\da9f4fa3,Herman Haugen\da9f4fa3,no NOR,DF,20.0,10.0,0.0,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tommy Høiland\b5e2ec59,Tommy Høiland\b5e2ec59,no NOR,FWMF,31.0,8.0,0.0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Heine Larsen\56a699c9,Heine Larsen\56a699c9,no NOR,MF,18.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastian Henriksen\400256ed,Sebastian Henriksen\400256ed,no NOR,DF,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kristoffer Paulsen\2971e75f,Kristoffer Paulsen\2971e75f,no NOR,DF,17.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lars Erik Sødal\a7e03a99,Lars Erik Sødal\a7e03a99,no NOR,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Magnus Ree\cc16342c,Magnus Ree\cc16342c,no NOR,GK,16.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Tord Salte\7e6c2512,Tord Salte\7e6c2512,no NOR,DF,21.0,0.0,0.0,,,,,,,,,,,,,,,Matches
