Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Christian Borchgrevink\4505c242,no NOR,DF,Vålerenga,21,1999,22.5,5,0,0,18,24,1,137,16,30,,,0,Matches
Erik Botheim\3d13d9e4,no NOR,FW,Bodø/Glimt,21,2000,29.2,2,0,0,26,30,4,1,9,10,,,0,Matches
Jonatan Braut Brunes\36adbbe0,no NOR,FW,Lillestrøm,20,2000,2.5,1,0,0,3,2,2,1,1,2,,,0,Matches
Jonas Brauti\936ba0f5,no NOR,GK,Stabæk,21,1999,1.4,0,0,0,0,1,0,0,0,0,,,0,Matches
Emil Breivik\611f4f60,no NOR,MFFW,Molde,20,2000,12.3,2,0,0,25,13,0,24,15,23,,,0,Matches
David Brekalo\fd594b15,si SVN,DF,Viking,22,1998,8.7,2,1,0,9,7,0,0,12,8,,,0,Matches
Bendik Brevik\24b9e1d0,no NOR,DF,Kristiansund,17,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Josef Brian Baccay\ea005201,no NOR,FW,Lillestrøm,19,2001,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Tonny Brochmann\9d75ac94,dk DEN,MF,Mjøndalen,31,1989,4.7,1,0,0,5,8,1,5,4,4,,,0,Matches
Sondre Brunstad Fet\c1d9bf1f,no NOR,MF,Bodø/Glimt,24,1997,20.4,2,0,0,34,24,1,9,21,35,,,0,Matches
Fredrik Brustad\f1d0e50d,no NOR,FW,Mjøndalen,31,1989,14.4,1,0,0,13,13,8,28,9,7,,,0,Matches
Ola Brynhildsen\ffe5ecdb,no NOR,MF,Molde,21,1999,26.6,3,0,0,20,37,7,10,19,20,,,0,Matches
Bendik Bye\fed73448,no NOR,FWMF,Kristiansund,30,1990,20.8,0,0,0,18,5,19,31,7,9,,,0,Matches
Magnus Bækken\0c226fd1,no NOR,FW,Mjøndalen,19,2001,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Anders Bærtelsen\d234b7e7,dk DEN,DF,Haugesund,20,2000,10,0,0,0,5,4,0,3,16,6,,,0,Matches
Dario ?ana?ija\da933459,hr CRO,MF,Sarpsborg 08,26,1994,9.4,1,0,0,11,14,0,7,4,10,,,0,Matches
Emil Ceide\98a84572,no NOR,FWMF,Rosenborg,19,2001,16.9,2,0,0,14,13,1,16,4,10,,,0,Matches
Mikkel Ceide\1318200b,no NOR,DF,Rosenborg,19,2001,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches
Marcos Celorrio\f7e488f9,es ESP,FW,Sandefjord,23,1997,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches
Tobias Christensen\d87d58e7,no NOR,MFFW,Vålerenga,20,2000,23.7,3,0,0,33,48,3,50,14,15,,,0,Matches
Ole Christian Sæter\6f8fc4e0,no NOR,FW,Rosenborg,24,1996,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Mads Christiansen\0c872cdf,no NOR,GK,Lillestrøm,20,2000,24,0,0,0,1,5,0,0,0,1,,,0,Matches
Per Ciljan Skjelbred\ecab64a0,no NOR,MF,Rosenborg,33,1987,10.4,4,0,0,15,16,0,14,12,14,,,0,Matches
Aliou Coly\027bd318,sn SEN,DF,Kristiansund,28,1992,25,4,0,0,19,18,2,10,40,21,,,0,Matches
Alex Craninx\b947001e,es ESP,GK,Lillestrøm,25,1995,2,0,0,0,0,0,0,0,0,0,,,0,Matches
Erlend Dahl Reitan\6b14ce11,no NOR,DF,Rosenborg,23,1997,27.7,4,0,0,20,31,1,69,41,34,,,0,Matches
Rolf Daniel Vikstøl\403d44ed,no NOR,DF,Viking,31,1989,14.8,6,0,0,13,6,2,8,11,17,,,0,Matches
Brynjolfur Darri Willumsson\a597bf9a,is ISL,FWMF,Kristiansund,20,2000,7.9,4,0,0,22,12,5,2,0,3,,,0,Matches
Filip Delaveris\1ad971b6,no NOR,FWMF,Brann,20,2000,4.8,0,0,0,13,8,0,10,4,3,,,0,Matches
Mikkel Desler\1d5c96f8,dk DEN,DF,Haugesund,25,1995,10,0,0,0,12,12,3,38,15,16,,,0,Matches
Ole Didrik Blomberg\250abfbf,no NOR,DF,Brann,20,2000,11,1,0,0,7,17,0,18,20,8,,,1,Matches
Amidou Diop\f7f657a4,sn SEN,MF,Kristiansund,28,1992,22.5,2,0,0,24,17,1,14,48,29,,,0,Matches
Vetle Dragsnes\6062bd22,no NOR,MFDF,Lillestrøm,26,1994,29.7,2,0,0,22,11,14,82,21,24,,,0,Matches
Mathias Dyngeland\00a0b181,no NOR,GK,Vålerenga,25,1995,2.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Mikael Dyrestam\3354f7d4,gn GUI,DF,Sarpsborg 08,29,1991,23.3,3,0,0,22,6,2,13,35,16,,,0,Matches
Aron Dønnum\10cff752,no NOR,FW,Vålerenga,22,1998,8.5,2,0,0,8,21,1,49,1,4,,,0,Matches
Moses Ebiye\8bc0c3cd,ng NGA,FW,Tromsø,23,1997,17.6,0,0,0,6,10,11,8,2,4,,,0,Matches
Zé Eduardo\cb2d343d,br BRA,MF,Sandefjord,29,1991,6.5,3,0,0,17,18,0,1,14,17,,,0,Matches
Oliver Edvardsen\b54b05e2,no NOR,FWMF,Stabæk,21,1999,18.4,1,0,0,25,36,10,27,8,20,,,0,Matches
Vetle Egeli\fed7524b,no NOR,MF,Sandefjord,16,2004,0.5,0,0,0,1,1,0,1,3,0,,,0,Matches
Martin Ellingsen\1d42db4a,no NOR,MF,Molde,25,1995,5.5,2,0,0,9,2,0,5,12,7,,,0,Matches
Mathias Emilsen\eca45998,no NOR,MF,Vålerenga,17,2003,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Andreas Endresen\901d82bc,no NOR,FW,Haugesund,18,2003,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
